id;school;sex;age;address;famsize;Pstatus;Medu;Fedu;Mjob;Fjob;reason;guardian;traveltime;studytime;absences
375;MS;F;18;R;LE3;T;4;4;other;other;reputation;mother;2;3;0
376;MS;F;18;R;GT3;T;1;1;other;other;home;mother;4;3;2
377;MS;F;20;U;GT3;T;4;2;health;other;course;other;2;3;4
378;MS;F;18;R;LE3;T;4;4;teacher;services;course;mother;1;2;4
379;MS;F;18;U;GT3;T;3;3;other;other;home;mother;1;2;0
380;MS;F;17;R;GT3;T;3;1;at_home;other;reputation;mother;1;2;17
381;MS;M;18;U;GT3;T;4;4;teacher;teacher;home;father;1;2;4
382;MS;M;18;R;GT3;T;2;1;other;other;other;mother;2;1;5
383;MS;M;17;U;GT3;T;2;3;other;services;home;father;2;2;2
384;MS;M;19;R;GT3;T;1;1;other;services;other;mother;2;1;0
385;MS;M;18;R;GT3;T;4;2;other;other;home;father;2;1;14
386;MS;F;18;R;GT3;T;2;2;at_home;other;other;mother;2;3;2
387;MS;F;18;R;GT3;T;4;4;teacher;at_home;reputation;mother;3;1;7
388;MS;F;19;R;GT3;T;2;3;services;other;course;mother;1;3;0
389;MS;F;18;U;LE3;T;3;1;teacher;services;course;mother;1;2;0
390;MS;F;18;U;GT3;T;1;1;other;other;course;mother;2;2;0
391;MS;M;20;U;LE3;A;2;2;services;services;course;other;1;2;11
392;MS;M;17;U;LE3;T;3;1;services;services;course;mother;2;1;3
393;MS;M;21;R;GT3;T;1;1;other;other;course;other;1;1;3
394;MS;M;18;R;LE3;T;3;2;services;other;course;mother;3;1;0
395;MS;M;19;U;LE3;T;1;1;other;at_home;course;father;1;1;5
