id;failures;schoolsup;famsup;paid;activities;nursery;higher;internet;romantic;famrel;freetime;goout;Dalc;Walc;health
379;0;no;no;yes;no;yes;yes;yes;yes;4;1;3;1;2;1
380;0;no;yes;yes;yes;no;yes;yes;no;4;5;4;2;3;1
381;0;no;no;yes;yes;no;yes;yes;no;3;2;4;1;4;2
382;0;no;no;no;yes;no;yes;yes;yes;4;4;3;1;3;5
383;0;no;no;no;yes;yes;yes;yes;no;4;4;3;1;1;3
384;1;no;no;no;no;yes;yes;no;no;4;3;2;1;3;5
385;1;no;no;yes;no;yes;yes;no;no;5;4;3;4;3;3
386;0;no;no;yes;no;yes;yes;no;no;5;3;3;1;3;4
387;0;no;yes;yes;yes;yes;yes;yes;yes;4;4;3;2;2;5
388;1;no;no;no;yes;no;yes;yes;no;5;4;2;1;2;5
389;0;no;yes;yes;no;yes;yes;yes;no;4;3;4;1;1;1
390;1;no;no;no;yes;yes;yes;no;no;1;1;1;1;1;5
391;2;no;yes;yes;no;yes;yes;no;no;5;5;4;4;5;4
392;0;no;no;no;no;no;yes;yes;no;2;4;5;3;4;2
393;3;no;no;no;no;no;yes;no;no;5;5;3;3;3;3
394;0;no;no;no;no;no;yes;yes;no;4;4;1;3;4;5
395;0;no;no;no;no;yes;yes;yes;no;3;2;3;3;3;5
